Item,Description,Unit,Qty.,Unit Price,Total Price AED
40,TRUNKING EXPANSION COUPLER 50MM,NOS,100,2.25,225.00
41,TRUNKING END CAP 150X150,NOS,500,5.25,"2,625.00"
42,TRUNKING EARTH LINK,NOS,5000,0.60,"3,000.00"
,ADDITIONAL ITEMS,,,,
43,TRAY VENTILATED COVER CLAMP 50MM,NOS,2004,2.50,"5,010.00"
43.a,EG ROOFING BOLT M6X12,NOS,4008,0.07,280.56
43.b,EG HEX NUT M6,NOS,2004,0.03,60.12
43.c,EG FLAT WASHER M6,NOS,2004,0.03,60.12
,,,Gross,Total,"412,506.30"
,,,5%,VAT,"20,625.32"
,,,Net,Total,"433,131.62"
