Date,15/6/2023
Quotation No.,RC/CMS/062023/142
Project,PT-295/4 INNOVATION HUB -PHASE 2
Currency,AED
Pages,1 of 1

To,: M/S ASEMCO
Address,: DUABI; UAE
Attention,: Mr. Ankit Bajpayee
Contact,: 971 56 539 1872
Email,:

"Dear Sir,",We thank,you for your inquiry and are pleased to submit our best price for,the,following items.,,
SL.NO,BRAND,DESCRIPTION,UNIT,QTY,PRICE,TOTAL PRICE
28,METAR,75X75X50 UNEQUAL TEE,NOS,20.00,12.40,248.00
29,METAR,100x50x50 UNEQUAL TEE,NOS,20.00,19.26,385.20
30,METAR,100X100X75 UNEQUAL TEE,NOS,20.00,19.26,385.20
31,METAR,150X150X100X100 SQUARE TEE,NOS,20.00,39.39,787.80
32,METAR,150X150X150X100 SQUARE TEE,NOS,20.00,39.39,787.80
33,METAR,50MM TRUNKING COUPLER,NOS,20.00,1.20,24.00
34,METAR,75MM TRUNKING COUPLER,NOS,"1,500.00",1.50,"2,250.00"
35,METAR,100MM TRUNKING COUPLER,NOS,"1,500.00",2.00,"3,000.00"
36,METAR,150MM TRUNKING COUPLER,NOS,"1,500.00",2.20,"3,300.00"
37,METAR,150X150 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20.00,3.50,70.00
38,METAR,100X100 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20.00,3.25,65.00
39,METAR,75X75 MM CABLE TRUNKING EXPANSION COUPLER,NOS,20.00,3.00,60.00
40,METAR,50X50 MM CABLE TRUNKING EXPANSION COUPLER,NOS,100.00,2.75,275.00
41,METAR,CABLE TRUNKING END CAP,NOS,500.00,4.00,"2,000.00"
42,METAR,CABLE TRUNKING EARTH STRIP,Nos,"5,000.00",1.40,"7,000.00"
,,,,,,
Validity,,:7 Days from the date of quotation.,Total,Amount,AED.,"453,252.09"
Payment,,: Need to be agreed,,,,
Delivery,,: At Site,,,,
Delivery,Period,: As per schedule,VAT 5%,,AED.,"22,662.60"
,,,NET,TOTAL,AED.,"475,914.69"
