Sr. No,Description,UOM,TOTAL Qty in Length / Nos,UNIT PRICE,TOTAL PRICE
25,200 MM CABLE TRAY 90DEG BEND ,NOS,30,16.51,495.30000000000007
26,150 MM CABLE TRAY 90DEG BEND ,NOS,50,12.52,626
27,100 MM CABLE TRAY 90DEG BEND ,NOS,30,7.99,239.70000000000002
28,900 MM CABLE TRAY 45DEG BEND ,NOS,2,98.63000000000001,197.26000000000002
29,750 MM CABLE TRAY 45DEG BEND ,NOS,10,74.54,745.4000000000001
30,600 MM CABLE TRAY 45DEG BEND ,NOS,8,53.91,431.28
31,450 MM CABLE TRAY 45DEG BEND ,NOS,10,36.269999999999996,362.69999999999993
32,300 MM CABLE TRAY 45DEG BEND ,NOS,50,16.64,832
33,225 MM CABLE TRAY 45DEG BEND ,NOS,10,13.31,133.1
34,200 MM CABLE TRAY 45DEG BEND ,NOS,30,11.65,349.5
35,150 MM CABLE TRAY 45DEG BEND ,NOS,50,8.32,416
36,100 MM CABLE TRAY 45DEG BEND ,NOS,30,5,150
37,900 MM CABLE TRAY EQUAL TEE,NOS,2,163.04,326.08
38,750 MM CABLE TRAY EQUAL TEE,NOS,10,149.73,1497.3
39,600 MM CABLE TRAY EQUAL TEE,NOS,8,105.15,841.2
40,450 MM CABLE TRAY EQUAL TEE,NOS,10,76.53,765.3
41,300 MM CABLE TRAY EQUAL TEE,NOS,50,43.26,2163
42,225 MM CABLE TRAY EQUAL TEE,NOS,10,25.82,258.2
43,200 MM CABLE TRAY EQUAL TEE,NOS,30,24.03,720.9000000000001
44,150 MM CABLE TRAY EQUAL TEE,NOS,50,17.51,875.5000000000001
45,100 MM CABLE TRAY EQUAL TEE,NOS,30,12.52,375.59999999999997
46,900X900X750 MM UNEQUAL TEE,NOS,20,163.04,3260.7999999999997
47,750X750X600 MM UNEQUAL TEE,NOS,20,149.73,2994.6
48,600X600X450 MM UNEQUAL TEE,NOS,20,105.15,2103
49,450X450X300 MM UNEQUAL TEE,NOS,20,76.53,1530.6
50,300X300X225 MM UNEQUAL TEE,NOS,20,43.26,865.1999999999999
51,225X225X150 MM UNEQUAL TEE,NOS,20,25.82,516.4
52,150X150X100 MM UNEQUAL TEE,NOS,20,17.51,350.20000000000005
53,900X750 MM STRAIGHT REDUCER,NOS,10,38.93,389.3
54,750X600 MM STRAIGHT REDUCER,NOS,10,34.94,349.4
55,600X450 MM STRAIGHT REDUCER,NOS,10,27.89,278.9
56,450X300 MM STRAIGHT REDUCER,NOS,10,16.64,166.4
57,300X225 MM STRAIGHT REDUCER,NOS,10,10.98,109.80000000000001
58,225X150 MM STRAIGHT REDUCER,NOS,10,9.99,99.9
59,150X100 MM STRAIGHT REDUCER,NOS,10,7.66,76.6
60,900 MM INSIDE RISER,NOS,10,72.54,725.4000000000001
61,750 MM INSIDE RISER,NOS,10,62.89,628.9
62,600 MM INSIDE RISER,NOS,10,53.239999999999995,532.4
63,450 MM INSIDE RISER,NOS,10,43.46,434.6
64,300 MM INSIDE RISER,NOS,10,25.290000000000003,252.90000000000003
65,225 MM INSIDE RISER,NOS,10,21.630000000000003,216.3
66,200 MM INSIDE RISER,NOS,10,20.430000000000003,204.30000000000004
67,150 MM INSIDE RISER,NOS,10,17.970000000000002,179.70000000000002
68,100 MM INSIDE RISER,NOS,10,15.44,154.4
69,900 MM OUTSIDE RISER,NOS,10,72.54,725.4000000000001
70,750 MM OUTSIDE RISER,NOS,10,62.89,628.9
71,600 MM OUTSIDE RISER,NOS,10,53.239999999999995,532.4
72,450 MM OUTSIDE RISER,NOS,10,43.46,434.6
73,300 MM OUTSIDE RISER,NOS,10,25.290000000000003,252.90000000000003
74,225 MM OUTSIDE RISER,NOS,10,21.630000000000003,216.3
75,200 MM OUTSIDE RISER,NOS,10,20.430000000000003,204.30000000000004
76,150 MM OUTSIDE RISER,NOS,10,17.970000000000002,179.70000000000002
77,100 MM OUTSIDE RISER,NOS,10,15.44,154.4
78,CABLE TRAY COUPLER 50MM HEIGHT,NOS,5000,3.3299999999999996,16649.999999999996
79,CABLE TRAY COUPLER WRAP OVER 50MM HEIGHT,NOS,1000,5.66,5660
80,EARTH CONTINUITY CONNECTOR 100MM LENGTH,NOS,10000,1.57,15700
CABLE TRUNKING & ACCESSORIES – Pre Galvanised,,,,,
1,150X150 MM CABLE TRUNKING 1.5MM THICKNESS,LTH,100,90.42,9042
2,100X100 MM CABLE TRUNKING 1.2MM THICKNESS,LTH,1217,50.6,61580.200000000004
3,50X50 MM CABLE TRUNKING 1.0MM THICKNESS,LTH,100,24.05,2405
4,100X100 MM CABLE TRUNKING 02 COMPARTMENT – 1.2MM THICKNESS,LTH,67,64.33,4310.11
5,150X100 MM CABLE TRUNKING 02 COMPARTMENT – 1.2MM THICKNESS,LTH,67,61.58,4125.86
6,150X150 MM CABLE TRUNKING EQUAL TEE,NOS,20,12.049999999999999,240.99999999999997
7,100X100 MM CABLE TRUNKING EQUAL TEE,NOS,100,8.75,875
8,50X50 MM CABLE TRUNKING EQUAL TEE,NOS,20,8.17,163.4
9,100X100 MM CABLE TRUNKING 02 COMPARTMENT EQUAL TEE,NOS,10,17.5,175
10,150X100 MM CABLE TRUNKING 02 COMPARTMENT EQUAL TEE,NOS,10,15.94,159.4
11,150X150 MM CABLE TRUNKING 45 DEGREE BEND,NOS,20,8.94,178.79999999999998
12,100X100 MM CABLE TRUNKING 45 DEGREE BEND,NOS,100,12.049999999999999,1205
